node,relation_nodes
420249012,"3514391354,3070253478,420248990,420249004,1334170407,1334172083,2991183870,3760220264,3760236661,3760236673,3760236687,3760247157,3761463621,420248569,5403622030,5403622028,5413973115,5413973120,5415637175,5423818213,5432701003,5432700998,6047716736,6047716738,6047850330,6048293318,6048293325,6548187755,6048494471,6048495120,6048495122,6548202090,4861510241,6563467464,6563934333,420249080,6054002239,3514391353,1333361959,3761463616,3787112200,4080942587,4080942996,5413973117,5413973629,5413973622,6038335497,6038434639,6038434649,6040776233,6040776237,6040776245,6040776254,6040835621,6040835637,6045746975,6334694287,6334746080,6524293832,6524645337"
3514391354,"420249012,3787112188,1333361971,420249080,6054002239,3514391353,1333361959,3761463616,3787112200,4080942587,4080942996,5413973117,5413973629,5413973622,6038335497,6038434639,6038434649,6040776233,6040776237,6040776245,6040776254,6040835621,6040835637,6045746975,6334694287,6334746080,6524293832,6524645337"
1333361894,"420248999,1333361984,6511836344,1333361885,1333361990,1333361921,1333361898,1333361943,1333361941,1333379818,420248996,1334172068,1334172101,3760216252,3760216254,3760220258,5424254827,5424254823,5424254825,6038605344,5413973631,6528743345,6528893305,6528893308,6529275676"
420248999,"1333361894,420249053,3070253478,420248990,1333361885,1333361990,1333361921,1333361898,1333361943,1333361941,1333379818,420248996,1334172068,1334172101,3760216252,3760216254,3760220258,1334172329,5403622023,420248585,5413655118,5423818215,5424254827,5424254823,5424254825,6038605344,6047891336,5413973631,6334845028,1334172325,6528743345,6528893305,6528893308,6529275676,6553999744"
1333730263,"6507006137,1333730369,6507006136,6507090166"
6507006137,"1333730263,6507006142,6507006141"
1333698950,"1333303513,420248835,420248975,6038368517,420248933,420248971,1334202697,3761464385,3761464387,6038353335,6518525105,1334202642,6555742704"
1333303513,"1333698950,1333341472,3501206652,420248835,420248486,1333361940,1333362002,1334198716,1333394776,1334198503,1334202642,420248612,1333361989,1333361923,1333361946,1333341510,3763846115,3763860006,3763860010,5424248620,1333361871,5424248615,5424248618,6038368517,6038469978,6038552820,6040843113,6045374198,3763846141,1616276760,6537343233,6539587383,6539660688,6539660697,6539660703,6539660708,6543286883,420248933,6555689173,6555742704,6555764793"
420248596,"420249236,1333311063"
420249236,"420248596,420248398,420249525,6060082203,3765320170,3765320173,3765320175,4069770410,6040964101,6045401780,6045414788,6045414792,6045447633,1601639399,6511573298,6521341369,6521341380,6521381386,6521363256"
420249053,"420248999,6041152002,3076945431,3076947134,2996011848,6548153436,1334172329,5403622023,420248585,5413655118,5423818215,6047891336,6334845028,1334172325,6553999744"
420248999,"1333361894,420249053,3070253478,420248990,1333361885,1333361990,1333361921,1333361898,1333361943,1333361941,1333379818,420248996,1334172068,1334172101,3760216252,3760216254,3760220258,1334172329,5403622023,420248585,5413655118,5423818215,5424254827,5424254823,5424254825,6038605344,6047891336,5413973631,6334845028,1334172325,6528743345,6528893305,6528893308,6529275676,6553999744"
1333341472,"1333303513,420248612,1333341510,3763846115,3763860006,3763860010,6038469978,6543286883,2991819242"
