wayid,nodes
118609265,"1333698799,6507235986,6511793364,1612890246,6511793366,3501187388,6511793368,1333730718,6512208143,1333730551,6509663351,2990909278"
118609278,"471537395,6539231489,1333699126,3753009156,6509637580,3753009157,6509637579,3753009158,1333699154"
118609288,"1333698587,1333698992"
118614295,"3509559803,1626463834,3509921598,6507199747,3509921115"
118618038,"1333762932,1333762562,1333762622,1333762660,4071022794,6511536685,1333763250"
118618074,"1759885824,3510593720,3510593722,1333762943,3510593727,3510593721,1333762853,1333762693,3510593726,3510593724,3510593723,1333762403,3510593716,1333763052,1333762994,3510593725,1333762602,3765451598,3510593718,1333762651,3510593719,1333763256,1759885824"
118618097,"1333763148,6507021803,6507021808,6507021807,6507021806,6507021804,6507021805"
118618110,"6308447060,3753094705,1333762682,3753094704,6509018680,3753094702,1333762492,5191989323,6507046437"
118618187,"1333763055,1333762748,1333762665,6506843578,1333762990"
118618190,"6324713949,2193961562,2141531711,3753094700,3753094701,1333763187,1333762671,3753094699,6507021802,1333762561,1333762890"
118618220,"1333763256,1333762859,6511536687,1663656994,1663656993,6511535681,6511549245,1759733929,6511549243,1333762718,6506501775,6506501776,1333762567"
118618223,"3075296863,3075296882,3075296881,1333699033,1333767454,1333762594"
118672244,"1334169616,1334170208"
118672338,"6164917315,6546018031,6514299275,6546020087,6545935180,6546020086"
118672345,"345362477,2093848456,1038395058,3078294463,3078294467,3078294468,345362480,3078294469,6539850771,3078294470,6518852235,6518852233"
118672359,"1333279837,1334169615,6300603825,6300603820,1334169958"
118672472,"345362475,345362477"
118672714,"3070253038,1334174660,3107382034,1334174886,1334174969,3070437298,3070437299,1334174936,1334174614,3070437323,3070437324,3070437322,3070437438"
118673924,"6132815866,6038220781,2991011666,6529739227,2991011668,6539256085,2991011673"
118674596,"3080182071,6532840249,1334202689,6543053294,1334202608,6543053297,1334202616,6545203393,1334202770,1334202715,6539928514,1334202641,6539928515,5896811068"
118674608,"1334202749,5578866900,6518654831,5578857491"
118675575,"1334204356,6524926597,1334204371,6522207204,1334204416,2236985093"
118675591,"3259983678,3259983667,3259983665,3514926244,3259983659,6518881807,3259983653,6518881808,3758681727,1334344658,6518725041,3259983613"
118675599,"2236993360,6518725040,6518881806,3259983658,6518881804,3514921622,6519028725,3514917013,6519028723,3259983677,3259983679"
118685390,"5579200483,3080338886,1334305577,3080338954,1334305244,1334305764,1334305833,1334305809,6163923762,6163923763,3080338856"
118685407,"1334305562,6514063528,1334305246"
118685426,"1334305330,5598585124,5598585125,3757552974,3757552975"
118685471,"3563761295,1334305693,3563716204,6158547019,3563773204,6514058590"
118685535,"5598585122,5598585126,5598585127,1334305433"
118691119,"2990909310,6509273271,1759885585,1759885584"
118691728,"1333698821,6506591951,6506591955,6506591950,1333698675,6506591954"
118777653,"3080245333,420248174,6518909852,1335188554,5441310963,5441310958,6513831942,1335188616,6513831944,5441310971,3080338956,5441310974,5441310634,1335188466,6513806149,1335188534,6513806151,5441310796,6513777822,6513795163,1335188590"
118777663,"6151755512,6151755515,6522082060,1335188540,6522095117,6522049998,1533987637,6158804892,6151755274,6521765530,6151755279,6521760588,4062779385,6521760590,1335188472,6151755438,1335188404"
127435023,"6507211777,3074799295,6507249085,1410502875,6508897993,6508897992,1410502742,1410502998,6508897985,6508828084,1410503018,6508828083,6508828082,1410502903,1410502772,6508828074,1410502755,6508913645,1410502896,1410502873,6508913644,1410502793,6508913643,1410502692,6508913640,6508913633,6508914063,1410502963,6508914062,6508960998,6508960996,6509024887,1410502749,6509024885,6509013283,6509013280,1410502820,1410503004,6509013275,1410502764,1410502891,6509013268,1410502842,6296195103,1410502738,6509013267,6296195110,1410503000,6509013269,1410502921,1410502796,1410502974,1410502887,6509163770,6509126995,6509163771,1410502813,6509126989,1410502864,6509092576,6509126990,1410503006,6509092581,6509092573,1410502797,1759733955,4884751767,1410502785,6509092568,1410502690,1410502774,6509092561,1410502931,4884751770,6509244314"
127435024,"1410502845,3510593378,6507035983,1036552773,6507035982,1036552234,3510593377,3510593376,6521934338"
127435025,"1333762567,6506501778,6506501777,1333763124,6511549242,1759733932,6511549244,6511535680,1626440386,1333763250,6511536686,1333763014,1333762943"
127435026,"1410502821,3074799285,3074799284,1410502733,1410502832"
127435028,"6507056638,6507026847,6507026853,1410502759,6507026852,1036552615"
127435030,"1410502971,3510593381,3510593382,3765436735,3765436739,1036552248"
127435031,"6507082276,4884751773,5952658850,5952658849,1410502961,1410502976,1410502968,1410502928,6509092571,1759733979,6509092574,1410502922,6509092575,1410502858,6508856100,1538332624,6508856101,1410502743,1410502712,6509163772,6509126999,1410502709,1410502691,1410502728,6509013270,1410502877,1410503002,1410502795,6509013265,6509013271,6509013272,1410503040,6509013273,1410503038,6509013274,1410502892,1410502859,1410502934,1410502698,6521877161,6509013284,1410502713,6509024886,6508960995,6509013282,6508914061,1410502918,6508913642,1410502780,6508913646,1410502767,1410502717,6508913647,1410502714,6508913648,1410502992,1410502884,6508897988,1410502707,6508897987,6508897989,1410502996,6508897986,1410503012,6508897990,1410502748,6508897991,1410502735,1914688151,6507211782,6507211779,1623183824,1410502801,1759734007,3074799294,3074799293,3074799303,1410502925,1759734014,3074799292,1410502776,3074799291,3074799290,1410503021,6158048801,3074799289,3074799288,1410502817,6508856089,6508856090,6508783682,1410502689,1410502821"
