wayid,nodes
296501794,"3002874316,3002874314,3002874312,3002874310,5590681621,3002874308,3002874306,3002874304,3002874302,4293658858,3002874301,3002874303,3002874305,3002874307,3002874311,3002874313,3002874315,3002874317,3002874319,3002874320,3002874318,3002874316"
302751302,"3070253248,3070253240,3070253132,3070253128,3070253121,3070253116,3070253109,6041152011,3070253101,6041152010,3070253094,3070253091,3070253092,3070253093,3070253097,3070253104,6041152009,6041152007,6041152008,3070253126,3070253233,3070253242,3070253244,3070253247,3070253251,6053946491,3070253248"
302764018,"6542688040,3070395410,3070395408,3070395405,3070395401,3070395403,3070395397,3070395394,3070395391,3070395389,3070395384,6542688038,3070395387,3070395385,3070395390,3070395393,3070395396,3070395399,3070395402,6542688039,3070395404,3070395407,3070395409,3070395412,6542688040"
303136207,"3074532141,3074532142,3074532143,6329927819,3074532144,3074532145,3074532146,3074532147,3074532029,3074532134,3074532030,3074532135,3074532136,3074532137,3074532138,3074532139,3074532140,3074532031,6329927820,3074532032,3074532133,3074532141"
303193271,"3075296869,6352679854,3075296870,3075296871,3075296872,3075296873,3075296874,6352679855,3075296904,3075296856,3075296857,3075296858,3075296875,3075296859,3075296900,3075296896,3075296860,3075296867,3075296868,3075296861,3075296862,6352679853,3075296863,3075296864,3075296865,3075296866,3075296869"
303615121,"3502954191,3502968696,3503023209,5578857463,5578857464,5578857465,3503023204,3503023203,3503023205,3503023206,5578857467,3502946444,3080182153,3503023208,3502946443,420248983,3502962656,5578857462,5578857461,3502946442,3503068084,3502946441,3502962654,5578857469,5578857468,3080182154,3502954191"
344025321,"3507931011,3507931012,3507931013,3507931014,3507931015,3507931016,3507931017,3507931018,3507931019,3507931020,3507931021,3507931022,3507931023,3507931024,3787142293,3507931025,6512131173,3507931026,3507931027,3507931028,3507931029,3507931011"
344206165,"3509559807,3509559808,3509559809,3509559810,3510436700,3509559817,3509559811,3509559812,3509559813,3509559818,3509559798,3509559799,3509559800,3509559801,3509559802,3509559816,3509559803,3509559814,3509559804,3509559805,3509559806,3509559807"
344311928,"3510537229,3510558169,3510558177,3510558165,3510558167,3510558166,3510558175,3510558176,6333710178,3510541518,3510558174,6333710177,3510558179,1036552313,3510558173,3510558180,3510541520,3510558172,3510558178,3510558168,3510558181,3510541524,3510558171,3510558170,3510537229"
350623970,"3563707072,3563707073,3563707074,3080338862,3563707065,3080338937,3563707066,3080336284,3563707059,3563707060,3563707061,3563707067,3563707068,3563707069,3080338935,3563707070,3563707071,3080336320,3080338896,3563707062,3563707063,3563707064,3563707072"
350627584,"3563761310,3563761311,1334305648,3563761297,3563761306,3563761296,3563761298,3563761307,3563761295,3563761299,3563761300,3563761308,3563761312,1334305353,3563761301,3563761302,3077387255,3563767893,3563761309,3563761294,1334305400,3563761304,3563761305,3563761310"
371904112,"3754533974,6506814347,3754533975,6506814348,6509588966,3754533977,3754533978,3754521824,3754522828,3754522826,3754522836,1333699204,6509588967,6506814346,3754522825,6506814345,6509588965,3754523443,6509588964,3754522834,3754521820,3754522833,3754521821,3754533974"
474383105,"4683527439,4683527942,4683527919,4683527895,4683527462,4683527956,4683527478,4683527947,4683527904,4683527953,4683527441,4683527452,4683527949,4683527950,4683527915,4683527479,4683527916,4683527480,4683527475,4683527439"
474405989,"2171351927,2171351951,2171351946,2171351941,2171351924,2171351939,2171351934,2171351944,2171351958,2171351955,2171351929,2171351963,2171351937,2171351966,6341022136,2171351927"
531683712,"5160833391,5160833390,5160833304,5160833401,5160833400,5160833399,5160833398,5160833397,5160833396,5160833395,5160833394,5160833393,5160833392,5160833391"
583538119,"5578857500,5578857501,5578857502,5578857503,5578857504,5578857505,5578857506,1334202652,1334339059,1334202749,5578857493,5578857494,5578857495,5578857496,5578857497,5578857498,5578857499,1334202738,6041178086,5578857492,5578857500"
583548755,"5578958493,5578958494,5578958495,6539176449,6561831102,5578958496,5578958498,5578958480,5578958481,6539176450,6561831103,5578958484,6561831104,5578958486,5578958487,5578958488,6539176451,6561831105,6308440248,5578958490,5578958491,5578958482,5578958483,5578958493"
583548764,"5578958649,6308440249,5578958650,5578958651,5578958652,5578958653,5578958656,5578958654,5578958655,5578958637,5578958638,5578958641,5578958642,6308440251,5578958643,5578958644,5578958645,6308440250,5578958646,5578958647,5578958648,5578958639,5578958640,5578958649"
